name,best_val_f1_macro,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,min_delta
MLP512x256x128_d0.30_lr1e-03,0.6591460364207389,"(512, 256, 128)",0.3,0.001,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.30_lr5e-04,0.6562747435586221,"(256, 128, 64)",0.3,0.0005,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.20_lr1e-03,0.6550799186617287,"(256, 128, 64)",0.2,0.001,0.0001,1024,30,5,0.0001
MLP512x256x128_d0.20_lr5e-04,0.6522719125667992,"(512, 256, 128)",0.2,0.0005,0.0001,1024,30,5,0.0001
MLP128x64_d0.30_lr1e-03,0.6521985642995368,"(128, 64)",0.3,0.001,0.0001,1024,30,5,0.0001
MLP512x256x128_d0.20_lr1e-03,0.6510885170088301,"(512, 256, 128)",0.2,0.001,0.0001,1024,30,5,0.0001
MLP512x256x128_d0.30_lr5e-04,0.650681417620382,"(512, 256, 128)",0.3,0.0005,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.30_lr1e-03,0.6499648944519104,"(256, 128, 64)",0.3,0.001,0.0001,1024,30,5,0.0001
MLP128x64_d0.20_lr5e-04,0.6482957045937977,"(128, 64)",0.2,0.0005,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.20_lr5e-04,0.6477026485398765,"(256, 128, 64)",0.2,0.0005,0.0001,1024,30,5,0.0001
MLP128x64_d0.20_lr1e-03,0.6443484937548706,"(128, 64)",0.2,0.001,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.10_lr1e-03,0.6441917395080429,"(256, 128, 64)",0.1,0.001,0.0001,1024,30,5,0.0001
MLP512x256x128_d0.10_lr1e-03,0.644158820021726,"(512, 256, 128)",0.1,0.001,0.0001,1024,30,5,0.0001
MLP256x128x64_d0.10_lr5e-04,0.64327461456709,"(256, 128, 64)",0.1,0.0005,0.0001,1024,30,5,0.0001
MLP128x64_d0.10_lr1e-03,0.6398400283474319,"(128, 64)",0.1,0.001,0.0001,1024,30,5,0.0001
MLP128x64_d0.30_lr5e-04,0.6397014078286895,"(128, 64)",0.3,0.0005,0.0001,1024,30,5,0.0001
MLP512x256x128_d0.10_lr5e-04,0.638826668268026,"(512, 256, 128)",0.1,0.0005,0.0001,1024,30,5,0.0001
MLP128x64_d0.10_lr5e-04,0.6372634908183915,"(128, 64)",0.1,0.0005,0.0001,1024,30,5,0.0001
